Kategori;SHOP_SKU;Başlık;EAN;Marka;Manufacturer Part Number (MPN);Ürün Açıklaması;Age Restriction (in years) (TR);Ana Ürün Görseli;Ek Ürün Görseli_1;Ek Ürün Görseli_2;Ürün Detay Görünüm_1;Ürün Detay Görünüm_2;Ürün Detay Görünüm_3;Lifestyle Görsel_1;Lifestyle Görsel_2;Lifestyle Görsel_3;Installation Sketch 1 (TR);Installation Sketch 2 (TR);Enerji Etiketi;Energy Datasheet (TR);Nutrition Table (TR);Energy Label (EU2017/1369) (TR);Energy Datasheet (EU2017/1369) (TR);EPREL ID;Pazar Yeri Varyant Grup Kodu;Üretici Ticari Ünvanı;Üretici Adresi: Şehir;Üretici Adresi: Ülke;Üretici Adresi;Manufacturer Address Line;Üretici Adresi _ Posta Kodu;Üretici Email;Manufacturer Is EU Established;Üretici Website URL;Safety Information Document (TR);EU Responsible Person Name (TR);EU Responsible Person City (TR);EU Responsible Person Country (TR);EU Responsible Person Address Additional Details (TR);EU Responsible Person Address Line (TR);EU Responsible Person Zip Code (TR);EU Responsible Person Email (TR);EU Responsible Person Website URL (TR);Kaynama Kuruma Koruması;İşletim tipi;Yedek;Güç kontrol ışığı;Çevre Dostu;Maksimum güç;Gizli rezistans;Soğuk duvar;Su filtresi;Frekans;Çaydanlık fonksiyonu;Sıcaklık kontrolü;Ambalajlı Ağırlık;Ambalaj Derinliği;Ambalaj Yüksekliği;Ambalaj Genişliği;Giriş Voltajı;Hacimsel kapasite;Kireç çözücü filtre;Sesli kapanma sinyali;360°  soket;Otomatik Kapama;Isınma fonksiyonu;Seviye göstergesi;Duvar monteli;360° Kablo Sarma Yuvası;Aşırı ısınma otomatik duruşu;Kaynama fonksiyonu;Kablosuz;Genişlik;Kablo Uzunluğu;Derinlik;Yükseklik;Renk (temel);Ağırlık;Ürün tanıtım tarihi;Üretici tarafından desteklenen yazılım güncellemeleri;Desteklenen yazılım güncellemelerinin minumum süresi;Model yılı;Yenilenmiş;Kullanıcı bilgilerinin paylaşımını gerektirir;Risk Grubu Kodları;Sinyal Kelimesi;Önlem Açılamaları;Politika güncelleştirme (tr_TR);Ek güncelleme bilgileri (tr_TR);Tasarım (tr_TR);Cihaz kullanımı için gerekli uygulama/servis (tr_TR);Uyumlu cihazlar (tr_TR);Kullanım (tr_TR);Renk (Üreticiye Göre) (tr_TR);Hazne şekli (tr_TR);Kasa Malzemesi (tr_TR);Ürün Tipi (tr_TR);Kablo tutucusu (tr_TR);Uyarılar (tr_TR);Test Sonucu (tr_TR);Ağırlık (Üreticiye Göre) (tr_TR);Keywords (tr_TR);Bilgi Görüntüleme Ekranı (tr_TR);Özel Nitelikler (tr_TR);Kutu İçeriği (tr_TR);Yasal metin (tr_TR);Series (tr_TR);Üretim Yeri (tr_TR);Üretici Garantisi
CATEGORY;SHOP_SKU;TITLE__TR_TR;EAN;BRAND;ATTR_PROD_MP_Manufacturer_PartNumber;Product_Description__TR_TR;ATTR_PROD_MP_SalesRestrictions__TR_TR;ATTR_PROD_MP_MainProductImage;ATTR_PROD_MP_AdditionalImage1;ATTR_PROD_MP_AdditionalImage2;ATTR_PROD_MP_DetailView1;ATTR_PROD_MP_DetailView2;ATTR_PROD_MP_DetailView3;ATTR_PROD_MP_LifeStyleImage1;ATTR_PROD_MP_LifeStyleImage2;ATTR_PROD_MP_LifeStyleImage3;ATTR_PROD_MP_InstallationSketch1__TR_TR;ATTR_PROD_MP_InstallationSketch2__TR_TR;ATTR_PROD_MP_EnergyLabel__TR_TR;ATTR_PROD_MP_EnergyDataSheet__TR_TR;ATTR_PROD_MP_NutritionTable__TR_TR;ATTR_PROD_MP_EnergyLabel_EU2017/1369__TR_TR;ATTR_PROD_MP_EnergyDataSheet_EU2017/1369__TR_TR;ATTR_PROD_ENERGY_EPREL_ID;ATTR_PROD_MP_VariantGroupCode;ATTR_PROD_MANU_LegalName;ATTR_PROD_MANU_AddressCity;ATTR_PROD_MANU_AddressCountry;ATTR_PROD_MANU_AddressDetails;ATTR_PROD_MANU_AddressLine;ATTR_PROD_MANU_AddressZipCode;ATTR_PROD_MANU_Email;ATTR_PROD_MANU_EuEstablished;ATTR_PROD_MANU_WebsiteURL;ATTR_PROD_MP_SafetyInformationDocument__TR_TR;ATTR_PROD_MP_MANU_ResponsiblePerson__TR_TR;ATTR_PROD_MP_MANU_RPAddressCity__TR_TR;ATTR_PROD_MP_MANU_RPAddressCountry__TR_TR;ATTR_PROD_MP_MANU_RPAddressDetails__TR_TR;ATTR_PROD_MP_MANU_RPAddressLine__TR_TR;ATTR_PROD_MP_MANU_RPAddressZipCode__TR_TR;ATTR_PROD_MP_MANU_RPEmail__TR_TR;ATTR_PROD_MP_MANU_RPWebsiteURL__TR_TR;PROD_FEAT_14060;PROD_FEAT_16630;PROD_FEAT_14339;PROD_FEAT_14390;PROD_FEAT_18889;PROD_FEAT_16246;PROD_FEAT_12330;PROD_FEAT_12206;PROD_FEAT_12444;PROD_FEAT_14435;PROD_FEAT_12181;PROD_FEAT_12198;PROD_FEAT_14704;PROD_FEAT_14702;PROD_FEAT_14701;PROD_FEAT_14700;PROD_FEAT_10449;PROD_FEAT_10817;PROD_FEAT_10152;PROD_FEAT_10098;PROD_FEAT_10018;PROD_FEAT_10055;PROD_FEAT_10376;PROD_FEAT_10918;PROD_FEAT_15308;PROD_FEAT_11195;PROD_FEAT_11995;PROD_FEAT_13950;PROD_FEAT_11307;PROD_FEAT_16110;PROD_FEAT_16108;PROD_FEAT_16112;PROD_FEAT_16111;PROD_FEAT_00003;PROD_FEAT_16333;PROD_FEAT_16746;PROD_FEAT_16743;PROD_FEAT_16744;PROD_FEAT_16617;PROD_FEAT_10500;PROD_FEAT_16919;PROD_FEAT_18200;PROD_FEAT_18202;PROD_FEAT_18203;PROD_FEAT_16747__TR_TR;PROD_FEAT_16745__TR_TR;PROD_FEAT_14398__TR_TR;PROD_FEAT_16918__TR_TR;PROD_FEAT_16920__TR_TR;PROD_FEAT_10410__TR_TR;PROD_FEAT_10812__TR_TR;PROD_FEAT_10979__TR_TR;PROD_FEAT_10986__TR_TR;PROD_FEAT_10990__TR_TR;PROD_FEAT_15307__TR_TR;PROD_FEAT_15670__TR_TR;PROD_FEAT_15550__TR_TR;PROD_FEAT_11011__TR_TR;PROD_FEAT_11111__TR_TR;PROD_FEAT_11142__TR_TR;PROD_FEAT_13366__TR_TR;PROD_FEAT_11470__TR_TR;PROD_FEAT_16005__TR_TR;PROD_FEAT_16042__TR_TR;PROD_FEAT_18008__TR_TR;PROD_FEAT_16207
CATEGORY;BARCODE;Product Name;Barcode;BRAND.;;Description;;Image URL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Güç (Watt);Gizli Rezistans;;;Frekans;;;;;;;Voltaj;Hacim;;;;Otomatik kapanma;;;;;;;;;;;;Renk.;;;;;;;;;;;;;;;;;Renk;;Materyal;;;;;;;;;;;;Menşei;
