Kategori;SHOP_SKU;Baþlýk;EAN;Marka;Manufacturer Part Number (MPN);Ürün Açýklamasý;Age Restriction (in years) (TR);Ana Ürün Görseli;Ek Ürün Görseli_1;Ek Ürün Görseli_2;Ürün Detay Görünüm_1;Ürün Detay Görünüm_2;Ürün Detay Görünüm_3;Lifestyle Görsel_1;Lifestyle Görsel_2;Lifestyle Görsel_3;Installation Sketch 1 (TR);Installation Sketch 2 (TR);Enerji Etiketi;Energy Datasheet (TR);Nutrition Table (TR);Energy Label (EU2017/1369) (TR);Energy Datasheet (EU2017/1369) (TR);EPREL ID;Pazar Yeri Varyant Grup Kodu;Üretici Ticari Ünvaný;Üretici Adresi: Þehir;Üretici Adresi: Ülke;Üretici Adresi;Manufacturer Address Line;Üretici Adresi _ Posta Kodu;Üretici Email;Manufacturer Is EU Established;Üretici Website URL;Safety Information Document (TR);EU Responsible Person Name (TR);EU Responsible Person City (TR);EU Responsible Person Country (TR);EU Responsible Person Address Additional Details (TR);EU Responsible Person Address Line (TR);EU Responsible Person Zip Code (TR);EU Responsible Person Email (TR);EU Responsible Person Website URL (TR);Uzaktan kumanda;Elektrikli fýrça;Uygulama alaný;Aroma püskürtücü;Su seviyesi göstergesi;Emniyet basýnç vanasý;Þarj göstergesi;Leke temizliði;Sistematik temizlik;Toz istasyonu;Planlanmýþ temizlik;Otomatik þarj ;Uygulama ile uyumlu;Þarj tabaný;Islak/kuru emme fonksiyonu;Kamera;Kablo bobini;Sinyal Kelimesi;Risk Grubu Kodlarý;Oda algýlama;Kir sensörü;Ýþletim tipi;Akýllý Ev Alaný;Tank sayýsý;Vakum;Buhar basýncý;Maksimum güç;Etki Alaný;Çevre Dostu;Batarya kapasitesi;Maksimum toz haznesi hacmi;Dönme ekseni sayýsý;Filtre kademe sayýsý;Maksimum emme gücü;Aralýk;Derinlik;Geniþlik;Yükseklik;Çalýþma geniþliði;Basýnçlý buhar temizleme;Döner tekerlerler;Yýkanabilir filtre;Filtre deðiþim göstergesi;Toz torbasý kapasitesi;Kuru Temizleme Baþlýðý Geniþliði;Ses Seviyesi;Islak Temizleme Baþlýðý Geniþliði;Evcil Hayvan Fýrçasý;Ambalajlý Aðýrlýk;Ambalaj Geniþliði;Ambalaj Derinliði;Ambalaj Yüksekliði;Koldan Kumanda;Toz Torbasý doluluk seviyesi;Maks. su giriþi sýcaklýðý;Güç kablosunun uzunluðu;Frekans;Yedek;Uyumlu platform;Giriþ Voltajý;Yüzey sensörü;Basýnç göstergesi;Sabit aksesuarlar;12V Baðlantý;WÝFÝ;Üretici tarafýndan desteklenen yazýlým güncellemeleri;Desteklenen yazýlým güncellemelerinin minumum süresi;Ürün tanýtým tarihi;Model yýlý;Paspas Ýþlevi;Su haznesi kapasitesi;Renk (temel);Aðýrlýk;Engel algýlama;Halý algýlama;Lazer navigasyon;Derecelendirme (Wh);Ekstraksiyon istasyonu;Önlem Açýlamalarý;Yenilenmiþ;Ses kontrolleri;Yapay Zeka;Kullanýcý bilgilerinin paylaþýmýný gerektirir;Yapay Zeka Ýþlevleri;Markaya özgü özellikler;Docking Ýstasyonu Derinliði;Docking Ýstasyonu Yüksekliði;Docking Ýstasyonu Geniþliði;Alan Kapsama (Silme);Kasa Malzemesi (tr_TR);Ürün Tipi (tr_TR);Renk (Üreticiye Göre) (tr_TR);Ekran (tr_TR);Temizleme süresi (m²/dak.) (tr_TR);Hortum tipi (tr_TR);Park sistem emiþi (tr_TR);Toz Torbasýz Teknoloji (tr_TR);Fýrça Tipi (tr_TR);Emiþ kontrolü (tr_TR);Halýlar ve sert zeminler için aparatlar (tr_TR);Toz Torbasý Malzemesi (tr_TR);Dönme ekseni malzemesi (tr_TR);Ürün belgeleri (tr_TR);Aðýrlýk (Üreticiye Göre) (tr_TR);Güvenlik özellikleri (tr_TR);Hava akýmý (tr_TR);Filtre tipi (tr_TR);Filtre yöntemi (tr_TR);Özel Nitelikler (tr_TR);Kap Malzemesi (tr_TR);Test Sonucu (tr_TR);Kablo malzemesi (tr_TR);Aksesuar tutucu (tr_TR);Tüp malzeme (tr_TR);Eþleþme vakum torbasý (tr_TR);Maksimum su haznesi hacmi (tr_TR);Maksimum batarya süresi (tr_TR);Kutu Ýçeriði (tr_TR);Keywords (tr_TR);Üretim Yeri (tr_TR);Politika güncelleþtirme (tr_TR);Ek güncelleme bilgileri (tr_TR);Zaman/hafta programlama (tr_TR);Uyumluluk (tr_TR);Yasal metin (tr_TR);Series (tr_TR);Güç ayarlama (tr_TR);Dönme ekseni sayýsý (tr_TR);Toz haznesi (tr_TR);Sistem (tr_TR);Su basýncý (tr_TR);Uyumlu cihazlar (tr_TR);Cihaz kullanýmý için gerekli uygulama/servis (tr_TR);Aydýnlatma (tr_TR);Yapý Þekli (tr_TR);Batarya Tipi (tr_TR);Baðlanmýþ yük (tr_TR);Þarj Süresi (tr_TR);Kullanýcý için veri eriþilebilirliði (tr_TR);AB Veri Yasasý'na göre daha fazla bilgi (tr_TR);Veri depolama yeteneði (tr_TR);Veri saklama süresi (tr_TR);Oluþturulan verinin biçimi, türü ve hacmi (tr_TR);Gerçek zamanlý veri üretimi (tr_TR);Üretici bilgilerine baðlantý;Üretici Garantisi
CATEGORY;SHOP_SKU;TITLE__TR_TR;EAN;BRAND;ATTR_PROD_MP_Manufacturer_PartNumber;Product_Description__TR_TR;ATTR_PROD_MP_SalesRestrictions__TR_TR;ATTR_PROD_MP_MainProductImage;ATTR_PROD_MP_AdditionalImage1;ATTR_PROD_MP_AdditionalImage2;ATTR_PROD_MP_DetailView1;ATTR_PROD_MP_DetailView2;ATTR_PROD_MP_DetailView3;ATTR_PROD_MP_LifeStyleImage1;ATTR_PROD_MP_LifeStyleImage2;ATTR_PROD_MP_LifeStyleImage3;ATTR_PROD_MP_InstallationSketch1__TR_TR;ATTR_PROD_MP_InstallationSketch2__TR_TR;ATTR_PROD_MP_EnergyLabel__TR_TR;ATTR_PROD_MP_EnergyDataSheet__TR_TR;ATTR_PROD_MP_NutritionTable__TR_TR;ATTR_PROD_MP_EnergyLabel_EU2017/1369__TR_TR;ATTR_PROD_MP_EnergyDataSheet_EU2017/1369__TR_TR;ATTR_PROD_ENERGY_EPREL_ID;ATTR_PROD_MP_VariantGroupCode;ATTR_PROD_MANU_LegalName;ATTR_PROD_MANU_AddressCity;ATTR_PROD_MANU_AddressCountry;ATTR_PROD_MANU_AddressDetails;ATTR_PROD_MANU_AddressLine;ATTR_PROD_MANU_AddressZipCode;ATTR_PROD_MANU_Email;ATTR_PROD_MANU_EuEstablished;ATTR_PROD_MANU_WebsiteURL;ATTR_PROD_MP_SafetyInformationDocument__TR_TR;ATTR_PROD_MP_MANU_ResponsiblePerson__TR_TR;ATTR_PROD_MP_MANU_RPAddressCity__TR_TR;ATTR_PROD_MP_MANU_RPAddressCountry__TR_TR;ATTR_PROD_MP_MANU_RPAddressDetails__TR_TR;ATTR_PROD_MP_MANU_RPAddressLine__TR_TR;ATTR_PROD_MP_MANU_RPAddressZipCode__TR_TR;ATTR_PROD_MP_MANU_RPEmail__TR_TR;ATTR_PROD_MP_MANU_RPWebsiteURL__TR_TR;PROD_FEAT_10826;PROD_FEAT_10753;PROD_FEAT_10699;PROD_FEAT_10685;PROD_FEAT_15238;PROD_FEAT_15147;PROD_FEAT_15052;PROD_FEAT_15957;PROD_FEAT_15955;PROD_FEAT_15956;PROD_FEAT_15954;PROD_FEAT_15971;PROD_FEAT_15742;PROD_FEAT_13092;PROD_FEAT_11659;PROD_FEAT_11318;PROD_FEAT_11305;PROD_FEAT_18202;PROD_FEAT_18200;PROD_FEAT_16655;PROD_FEAT_16656;PROD_FEAT_16630;PROD_FEAT_16517;PROD_FEAT_16252;PROD_FEAT_16248;PROD_FEAT_16249;PROD_FEAT_16246;PROD_FEAT_16247;PROD_FEAT_18889;PROD_FEAT_16295;PROD_FEAT_16257;PROD_FEAT_16255;PROD_FEAT_16256;PROD_FEAT_16253;PROD_FEAT_16254;PROD_FEAT_16112;PROD_FEAT_16110;PROD_FEAT_16111;PROD_FEAT_16066;PROD_FEAT_14913;PROD_FEAT_14970;PROD_FEAT_14960;PROD_FEAT_14962;PROD_FEAT_14961;PROD_FEAT_14906;PROD_FEAT_12233;PROD_FEAT_14899;PROD_FEAT_12217;PROD_FEAT_14704;PROD_FEAT_14700;PROD_FEAT_14702;PROD_FEAT_14701;PROD_FEAT_12121;PROD_FEAT_12107;PROD_FEAT_14504;PROD_FEAT_14482;PROD_FEAT_14435;PROD_FEAT_14339;PROD_FEAT_10521;PROD_FEAT_10449;PROD_FEAT_10475;PROD_FEAT_10392;PROD_FEAT_10112;PROD_FEAT_10005;PROD_FEAT_12484;PROD_FEAT_16743;PROD_FEAT_16744;PROD_FEAT_16746;PROD_FEAT_16617;PROD_FEAT_16766;PROD_FEAT_10819;PROD_FEAT_00003;PROD_FEAT_16333;PROD_FEAT_16813;PROD_FEAT_16814;PROD_FEAT_16812;PROD_FEAT_16811;PROD_FEAT_16817;PROD_FEAT_18203;PROD_FEAT_10500;PROD_FEAT_12076;PROD_FEAT_16914;PROD_FEAT_16919;PROD_FEAT_16943;PROD_FEAT_16962;PROD_FEAT_17032;PROD_FEAT_17031;PROD_FEAT_17030;PROD_FEAT_17033;PROD_FEAT_10986__TR_TR;PROD_FEAT_10990__TR_TR;PROD_FEAT_10812__TR_TR;PROD_FEAT_10649__TR_TR;PROD_FEAT_15435__TR_TR;PROD_FEAT_15438__TR_TR;PROD_FEAT_15439__TR_TR;PROD_FEAT_15436__TR_TR;PROD_FEAT_15206__TR_TR;PROD_FEAT_15133__TR_TR;PROD_FEAT_15044__TR_TR;PROD_FEAT_15093__TR_TR;PROD_FEAT_15090__TR_TR;PROD_FEAT_13648__TR_TR;PROD_FEAT_11011__TR_TR;PROD_FEAT_13676__TR_TR;PROD_FEAT_13574__TR_TR;PROD_FEAT_13464__TR_TR;PROD_FEAT_13462__TR_TR;PROD_FEAT_13366__TR_TR;PROD_FEAT_15677__TR_TR;PROD_FEAT_15550__TR_TR;PROD_FEAT_15441__TR_TR;PROD_FEAT_15440__TR_TR;PROD_FEAT_11893__TR_TR;PROD_FEAT_11722__TR_TR;PROD_FEAT_11555__TR_TR;PROD_FEAT_11536__TR_TR;PROD_FEAT_11470__TR_TR;PROD_FEAT_11111__TR_TR;PROD_FEAT_18008__TR_TR;PROD_FEAT_16747__TR_TR;PROD_FEAT_16745__TR_TR;PROD_FEAT_16607__TR_TR;PROD_FEAT_16518__TR_TR;PROD_FEAT_16005__TR_TR;PROD_FEAT_16042__TR_TR;PROD_FEAT_14849__TR_TR;PROD_FEAT_14837__TR_TR;PROD_FEAT_12106__TR_TR;PROD_FEAT_12163__TR_TR;PROD_FEAT_14586__TR_TR;PROD_FEAT_16920__TR_TR;PROD_FEAT_16918__TR_TR;PROD_FEAT_10427__TR_TR;PROD_FEAT_10401__TR_TR;PROD_FEAT_10396__TR_TR;PROD_FEAT_10139__TR_TR;PROD_FEAT_10080__TR_TR;PROD_FEAT_94004__TR_TR;PROD_FEAT_94005__TR_TR;PROD_FEAT_94002__TR_TR;PROD_FEAT_94003__TR_TR;PROD_FEAT_94000__TR_TR;PROD_FEAT_94001__TR_TR;PROD_FEAT_94006;PROD_FEAT_16207
Category;;Product Name;Barcode;Brand;;Description;;Image URL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Çöp Ýstasyonu;;;Uygulama Üzerinden Kontrol;;;;;;;;;;;;;;;;;;Hazne Kapasitesi;;;;;;;;;;;;;;;Ses Seviyesi;;;;;;;;;;;Frekans;;;Voltaj;;;;;;;;;;Yer Silme Özelliði;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Þarjlý Kullaným Süresi;;;Menþei;;;;;;;;;;;;;;;;;;;;;;;;;;
